"yyyy","mm","day","HH","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2017,5,5,16,30,3.3,0.2,0.05,4.306821083,-35.36375094,0.889716768977634,0.374315452,156.9814452
2017,5,5,17,0,3.3,0.2,0.05,4.388816069,-39.96285318,1.15727717725703,0.364378345,153.6423116
2017,5,5,17,30,3.3,0.2,0.05,3.802364382,-28.28652137,1.33241253896832,0.328315407,134.099737
2017,5,5,18,0,3.3,0.2,0.05,4.501176937,-42.39307798,1.66497633166361,0.33330789,130.026718
2017,5,5,18,30,3.3,0.2,0.05,4.820966272,-106.2428459,0.893268437257245,0.392131992,156.0024349
2017,5,5,19,0,3.3,0.2,0.05,4.285963623,-139.8994658,1.06722374551919,0.326921633,150.7890925
2017,5,5,19,30,3.3,0.2,0.05,4.273939013,2339.88743,0.835997400115575,0.325997898,154.8917537
2017,5,5,20,0,3.3,0.2,0.05,3.143321488,45.65020922,0.575705958801887,0.192719784,154.8471112
2017,5,5,20,30,3.3,0.2,0.05,2.198223239,7.474480991,0.811562075259804,0.11189051,129.8058918
2017,5,5,21,0,3.3,0.2,0.05,2.169294463,0.767878209,0.375467045158427,0.0474,124.9831129
2017,5,5,21,30,3.3,0.2,0.05,2.660989747,10.01659878,0.519477715595193,0.117406306,136.9168753
2017,5,5,22,0,3.3,0.2,0.05,2.655594105,-163.7188639,0.767687953533205,0.109891314,133.7354171
2017,5,5,22,30,3.3,0.2,0.05,2.174875478,4.49780473,0.638803496389931,0.0935,148.4816694
2017,5,5,23,0,3.3,0.2,0.05,2.627821502,12.00230705,0.755359257572183,0.147031834,139.4975487
2017,5,5,23,30,3.3,0.2,0.05,1.833248604,3.951968318,0.645203794161194,0.139585988,144.1408153
2017,5,6,0,0,3.3,0.2,0.05,2.450309053,20.95132406,0.743112858185081,0.177505429,148.1629166
2017,5,6,0,30,3.3,0.2,0.05,0.965285294,67.57153135,1.28630964468125,0.138455549,102.4032521
2017,5,6,1,0,3.3,0.2,0.05,0.253013189,5.23462008,0.651217983474044,0.0997,95.31669149
2017,5,6,1,30,3.3,0.2,0.05,0.933004458,5.161497905,1.13917216828713,0.14145804,105.6928125
2017,5,6,2,0,3.3,0.2,0.05,0.803455721,4.229124821,0.794315911335031,0.113420711,67.72716271
2017,5,6,2,30,3.3,0.2,0.05,0.684887494,1.596032138,0.63512468224751,0.0667,24.54991131
2017,5,6,3,0,3.3,0.2,0.05,0.877033286,0.908857926,0.93287746730211,0.0575,83.01907903
2017,5,6,3,30,3.3,0.2,0.05,0.68387402,5.258210649,0.705278928509849,0.122365846,16.22376941
2017,5,6,4,0,3.3,0.2,0.05,0.770593922,14.53943029,0.677859938335347,0.156416181,357.0607157
